1,1,"1315 Mcfarland Dr","College Station","TX","77844",8500,"1 tree"
2,2,"7829 Boulder Ct","College Station","TX","77841",8900,"fire pit"
3,3,"3429 Henry Ct","College Station","TX","77843",2900,"4 trees"
4,4,"3650 Decatur Dr","College Station","TX","77842",10900,"1 tree"
5,5,"4406 Neal Pickett Dr","College Station","TX","77843",1300,"1 tree"
6,6,"3408 Lancelot Cir","College Station","TX","77842",10600,"gazebo"
7,7,"5210 Velencia Ct","College Station","TX","77840",3500,"2 trees"
8,8,"519 Cooner St","College Station","TX","77844",7000,"fire pit"
9,9,"6311 Yegua Creek Ct","College Station","TX","77841",8400,"fountain"
10,10,"8241 Springfield Dr","College Station","TX","77841",10400,"fountain"
11,11,"1321 Haines Dr","College Station","TX","77840",2300,"hedge row"
12,12,"8647 Lakeshore Cir","College Station","TX","77841",6800,"N/A"
13,13,"4890 Deer Park Dr","College Station","TX","77844",1200,"2 trees"
14,14,"8762 Newton Rd","College Station","TX","77843",8700,"shrubs"
15,15,"5217 Stanford Cir","College Station","TX","77844",4300,"N/A"
16,16,"3261 Crest St","College Station","TX","77842",5900,"shrubs"
17,17,"7491 Amy Ct","College Station","TX","77845",5100,"4 trees"
18,18,"1703 Whites Creek Ln","College Station","TX","77845",5900,"2 trees"
19,19,"4914 Hasselt St","College Station","TX","77844",10600,"hedge row"
20,20,"1985 Autumnwood Dr","College Station","TX","77844",7700,"N/A"
21,21,"4506 Park Pl","College Station","TX","77844",5600,"3 trees"
22,22,"5758 Horseshoe Ln","College Station","TX","77841",11500,"N/A"
23,23,"8233 Munson Ave","College Station","TX","77841",5300,"gazebo"
24,24,"5906 Bernburg","College Station","TX","77841",6300,"3 trees"
25,25,"2704 Ave B","College Station","TX","77845",1900,"1 tree"
26,26,"2481 Valley View Dr","College Station","TX","77842",8300,"hedge row"
27,27,"9955 Hibiscus St","College Station","TX","77845",12000,"4 trees"
28,28,"3409 Misty Ln","College Station","TX","77841",11000,"hedge row"
29,29,"9358 Cold Spring Dr","College Station","TX","77841",8400,"fountain"
30,30,"4297 Bob Moore Rd","College Station","TX","77843",7800,"1 tree"
31,31,"5806 Carisbrooke Loop","College Station","TX","77843",11700,"shrubs"
32,32,"2691 Red Hill Dr","College Station","TX","77845",3000,"shrubs"
33,33,"4515 Shoshoni Ct","College Station","TX","77842",11100,"4 trees"
34,34,"2373 Martinsville Ln","College Station","TX","77840",11800,"N/A"
35,35,"7380 Mullins Loop E","College Station","TX","77841",1300,"2 trees"
36,36,"2617 Chenault Ln","College Station","TX","77840",4800,"1 tree"
37,37,"4443 Bonnie Ln","College Station","TX","77840",12000,"fire pit"
38,38,"4413 Candace Ct","College Station","TX","77844",10700,"1 tree"
39,39,"4638 Hannover St","College Station","TX","77845",1000,"1 tree"
40,40,"3055 Fontaine Dr","College Station","TX","77841",6400,"4 trees"
41,41,"5364 Hazy Meadow Ct","College Station","TX","77844",11700,"N/A"
42,42,"7534 Gilchrist Ave","College Station","TX","77845",11000,"1 tree"
43,43,"8942 Holleman W Dr","College Station","TX","77842",9500,"2 trees"
44,44,"3427 Crepe Myrtle St","College Station","TX","77842",10900,"fire pit"
45,45,"6201 Jordan Place Rd","College Station","TX","77840",2200,"fountain"
46,46,"6831 Dusty Rd","College Station","TX","77842",8000,"hedge row"
47,47,"5722 Bizzell St","College Station","TX","77842",3100,"1 tree"
48,48,"4814 Bosque Dr","College Station","TX","77841",7400,"N/A"
49,49,"1518 Rhett Butler Dr","College Station","TX","77842",3700,"3 trees"
50,50,"5740 Westover St","College Station","TX","77844",11800,"N/A"
51,51,"8024 Schaffer Dr","College Station","TX","77845",7200,"hedge row"
52,52,"3188 Rolling Rock Pl","College Station","TX","77842",1900,"2 trees"
53,53,"273 Woods Ln","College Station","TX","77842",12000,"fire pit"
54,54,"8532 Foster Ave","College Station","TX","77842",4700,"1 tree"
55,55,"8465 Harvest Dr","College Station","TX","77842",2300,"3 trees"
56,56,"7717 I And Gn Rd","College Station","TX","77842",1600,"N/A"
57,57,"4191 Jennifer Dr","College Station","TX","77842",10200,"1 tree"
58,58,"9801 Turner St","College Station","TX","77845",8100,"2 trees"
59,59,"4338 Gibbs Cir","College Station","TX","77843",10500,"hedge row"
60,60,"4589 Horse Haven Ln","College Station","TX","77843",4300,"N/A"
61,61,"5089 Moses Creek Ct","College Station","TX","77843",8300,"shrubs"
62,62,"5083 Greenberry Cir","College Station","TX","77841",9300,"gazebo"
63,63,"3623 Petersburg Ct","College Station","TX","77842",10800,"4 trees"
64,64,"3804 High Prairie Rd","College Station","TX","77841",11500,"4 trees"
65,65,"3244 S Bluebonnet Cir","College Station","TX","77841",11600,"3 trees"
66,66,"9681 Augsburg Ct","College Station","TX","77845",1100,"N/A"
67,67,"2794 Azalea Ct","College Station","TX","77841",11200,"N/A"
68,68,"7712 Spartanburg Ct","College Station","TX","77843",8700,"1 tree"
69,69,"8341 Fern Ct","College Station","TX","77841",5600,"2 trees"
70,70,"1866 Old Arrington Rd","College Station","TX","77840",1400,"gazebo"
71,71,"9482 Trinity Pl","College Station","TX","77840",11500,"fountain"
72,72,"4459 Cardinal Ln","College Station","TX","77840",5400,"N/A"
73,73,"9930 Turnberry Cir","College Station","TX","77840",7400,"1 tree"
74,74,"5763 Azalea Ct","College Station","TX","77840",10700,"4 trees"
75,75,"5833 Hill Cir","College Station","TX","77844",7400,"N/A"
76,76,"2869 Hopes Creek Rd","College Station","TX","77843",4400,"2 trees"
77,77,"5074 Carmel Pl","College Station","TX","77840",6900,"gazebo"
78,78,"769 Southwest Pkwy","College Station","TX","77843",7300,"3 trees"
79,79,"8121 Southwest Parkway E","College Station","TX","77841",4100,"fountain"
80,80,"8099 Windy Ryon Rd","College Station","TX","77843",4000,"1 tree"
81,81,"7222 Camargo Ct","College Station","TX","77843",3600,"N/A"
82,82,"4805 Brittany Dr","College Station","TX","77841",12000,"N/A"
83,83,"8987 Pipeline Rd","College Station","TX","77844",3800,"N/A"
84,84,"4805 Colonial Cir","College Station","TX","77840",11000,"gazebo"
85,85,"9205 Dover Dr","College Station","TX","77840",11600,"2 trees"
86,86,"2578 Laredo Ct","College Station","TX","77842",5300,"1 tree"
87,87,"7293 Wolf Run","College Station","TX","77845",8700,"2 trees"
88,88,"8741 Stone Cove Ct","College Station","TX","77844",7400,"N/A"
89,89,"8605 Chesapeake Ct","College Station","TX","77843",11100,"3 trees"
90,90,"5920 Old Ti Rd","College Station","TX","77843",2500,"N/A"
91,91,"181 Crest St","College Station","TX","77840",9900,"hedge row"
92,92,"5953 Merrimac Ct","College Station","TX","77842",10200,"fountain"
93,93,"5165 Moss Glen","College Station","TX","77841",6900,"2 trees"
94,94,"495 Eagle Ave","College Station","TX","77845",4400,"gazebo"
95,95,"210 Lodgepole Cir","College Station","TX","77842",10100,"N/A"
96,96,"325 Sara Dr","College Station","TX","77845",5000,"N/A"
97,97,"9617 Greens Prairie Rd W","College Station","TX","77844",8200,"fountain"
98,98,"1023 Richards St","College Station","TX","77841",4100,"2 trees"
99,99,"3766 General Pkwy","College Station","TX","77843",5000,"fire pit"
100,100,"7789 Cecilia Loop","College Station","TX","77841",9000,"N/A"
101,101,"434 R R Row","College Station","TX","77841",4500,"N/A"
102,102,"932 Bosque Dr","College Station","TX","77841",3600,"1 tree"
103,103,"2987 Treehouse Trail","College Station","TX","77841",9400,"3 trees"
104,104,"8135 Sycamore Hills Dr","College Station","TX","77840",9200,"fountain"
105,105,"334 Moss Glen","College Station","TX","77845",4100,"4 trees"
106,106,"7351 Hasselt St","College Station","TX","77842",6400,"N/A"
107,107,"4944 Tonkaway Lake Rd","College Station","TX","77840",8700,"N/A"
108,108,"3252 Deerfield Dr","College Station","TX","77842",4300,"3 trees"
109,109,"1962 Gibbs Cir","College Station","TX","77844",5800,"N/A"
110,110,"5525 Hayesville Ct","College Station","TX","77843",6700,"shrubs"
111,111,"62 Brandenburg Ln","College Station","TX","77844",4400,"N/A"
112,112,"5568 Quaker Ridge Dr","College Station","TX","77844",7500,"3 trees"
113,113,"1462 Pebblestone Ct","College Station","TX","77840",3000,"gazebo"
114,114,"3002 Arroyo Ct S","College Station","TX","77845",4300,"1 tree"
115,115,"6118 Rayado Ct S","College Station","TX","77842",1200,"hedge row"
116,116,"1245 Retriever Run","College Station","TX","77845",1900,"gazebo"
117,117,"3075 Rosemary Ln","College Station","TX","77841",11700,"N/A"
118,118,"7770 Palomino Rd","College Station","TX","77842",1900,"N/A"
119,119,"3670 Copper River Dr","College Station","TX","77843",11500,"4 trees"
120,120,"4572 Patricia St","College Station","TX","77840",10500,"N/A"
121,121,"4491 Mullins Loop S","College Station","TX","77845",3100,"4 trees"
122,122,"5374 Eastmark Dr","College Station","TX","77842",2800,"2 trees"
123,123,"5653 University Oaks Blvd","College Station","TX","77844",9400,"fire pit"
124,124,"5153 Greens Prairie Rd W","College Station","TX","77845",11800,"N/A"
